Conférence,début,fin
conf 1 : POUGET,19/09/2023 09h30,19/09/2023 10h00
conf 2 : LEGRAND,19/09/2023 10h00,19/09/2023 10h30
conf 3 : COBUILDER,19/09/2023 10h30,19/09/2023 11h05
conf 4 : ENERA,19/09/2023 11h05,19/09/2023 11h25
conf 5 : ETHERA,19/09/2023 11h25,19/09/2023 11h45
conf 6 : CITRON,19/09/2023 11h45,19/09/2023 12h20
conf 7 : BACNET,19/09/2023 12h20,19/09/2023 12h45
conf 8 : ATELIER IM,19/09/2023 13h25,19/09/2023 14h00
conf 9 : ADVIZEO,19/09/2023 14h00,19/09/2023 14h35
conf 10 : AFNOR,19/09/2023 14h35,19/09/2023 15h00
conf 11 : SHELL,19/09/2023 15h00,19/09/2023 15h30
conf 12 : BOREAL,19/09/2023 15h30,19/09/2023 15h50
conf 13 : ELICHENS,19/09/2023 15h50,19/09/2023 16h10
conf 14 : ATELIER IM,19/09/2023 16h10,19/09/2023 16h30
